_id,id,AgencyName,PrimaryManagerFirst,PrimaryManagerLast,PrimaryManagerEmail,AgencyFacebookLink,AgencyTwitterLink,AgencyPhone,Address,AgencyAddress,Addition,Street Address,AgencyCity,AgencyState,AgencyPostal,AgencyUrl,WhatWeDo,longitude,latitude
1,1,21st Century Scholar Corps,Lily,Luna,liluna@indiana.edu,https://www.facebook.com/IUB21CS/,https://twitter.com/iub21cs?lang=en,1-812-856-1591,"Eigenmann 603 South 1900 East 10th Street, Bloomington, IN, 47406",Eigenmann 603 South 1900 East 10th Street,,1900 E 10th St,Bloomington,IN,47406,http://www.indiana.edu/~iub21cs,Assists each 21st Century Scholar with meeting his or her academic and personal goals.,-86.509445,39.171564
2,3,AIDS Memorial Quilt @ IU,Harley,Rogers,harroger@indiana.edu,https://www.facebook.com/The-AIDS-Memorial-Quilt-at-IU-1045674815566970/,,1-812-340-0658,"107 S Indiana Ave, Bloomington, IN, 47405",107 S Indiana Ave,Indiana University Bloomington Alumni Hall,107 S Indiana Ave,Bloomington,IN,47405,,"The AIDS Memorial Quilt Committee is comprised of IU Students, faculty, and community members that are driven to create an impact on those who have been diagnosed with HIV and those at risk. Together we hope to be a driving force against HIV in the Bloomington community.",-86.526924,39.166435
3,4,All-Options Pregnancy Resource Center,Rachel,Ronquillo Gray,rachel@all-options.org,https://www.facebook.com/search/top/?q=all-options pregnancy resource center,https://twitter.com/AllOptionsPRC,1-812-558-0089,"1014 S. Walnut St, Bloomington, IN, 47401",1014 S. Walnut St,,1014 S Walnut St,Bloomington,IN,47401,http://www.all-options.org,"At All-Options, we know that every individual?s and family?s reality is different, and we trust and support people through every pregnancy and parenting turning point. Whether you need support for unplanned pregnancy, miscarriage, infertility, abortion, adoption, or parenting, All-Options is here for you. All-Options Pregnancy Resource Center is a program of Backline, a national nonprofit organization that has been creating space for people to find unconditional and judgment-free support since 2004.",-86.534083,39.154385
4,5,Alzheimer's Association Greater Indiana Chapter,Amy,Przybylinski,aprzybylinski@alz.org,http://www.facebook.com/alzindiana,http://www.twitter.com/alzindiana,1-800-272-3900,"50 East 91st Street, Indianapolis, IN, 46240",50 East 91st Street,Suite 100,50 E 91st St STE 100,Indianapolis,IN,46240,http://www.alz.org/indiana,To eliminate Alzheimer's disease through the advancement of research; to provide and enhance care and support for all affected; and to reduce the risk of dementia through the promotion of brain health.,-86.156536,39.920413
5,6,Alzheimer's Student Alliance,Lacy,Schamrowski,lacy@alzsa.com,https://www.facebook.com/alzsaiu/,https://twitter.com/alzsaiu,1-630-440-7564,"201 N Rose Ave, Bloomington, IN, 47405",201 N Rose Ave,,201 N Rose Ave,Bloomington,IN,47405,http://www.alzsa.com,Alzheimers Student Alliance at Indiana University is a student-led organization dedicated to raising awareness of Alzheimers disease and related dementias in the Bloomington Community.,-86.51094,39.167677
6,7,American Association Of Retired Persons (AARP) Tax Aide Program,Shirley,Beheler,shirleybeheler@yahoo.com,,,1-812-330-8250,"1700 W. Bloomfield Rd., Bloomington, IN, 47403",1700 W. Bloomfield Rd.,,1700 W Bloomfield Rd,Bloomington,IN,47403,http://www.aarp.org,To provide high quality free income tax assistance and tax form preparation to low- and middle-income taxpayers with special attention to those age 60 and older.,-86.562899,39.15588
7,8,American Cancer Society,Melissa,Pressler,melissa.pressler@cancer.org,https://www.facebook.com/pages/American-Cancer-Society/1466794636970149,,1-812-475-9486,"5250 Vogel Rd, Evansville, IN, 47715",5250 Vogel Rd,,5250 Vogel Rd,Evansville,IN,47715,http://www.cancer.org,"The American Cancer Society is the nationwide, community-based, voluntary health organization dedicated to eliminating cancer as a major health problem by preventing cancer, saving lives, and diminishing suffering from cancer, through research, education, advocacy, and service.",-87.487189,37.988064
8,9,American Legion Auxiliary,Jenny,Tracy,jtracy@bluemarble.net,https://www.facebook.com/American-Legion-Auxiliary-Department-of-Indiana-564411213675745/,,1-812-334-0500,"1800 W 3rd St, Bloomington, IN, 47404",1800 W 3rd St,,1800 W 3rd St,Bloomington,IN,47404,http://www.legion18.org,"Mission StatementIn the spirit of Service, Not Self, the mission of the American Legion Auxiliary is to support The American Legion and to honor the sacrifice of those who serve by enhancing the lives of our veterans, military, and their families, both at home and abroad. For God and Country, we advocate for veterans, educate our citizens, mentor youth, and promote patriotism, good citizenship, peace and security. Vision StatementThe vision of the American Legion Auxiliary is to support The American Legion while becoming the premier service organization and foundation of every community providing support for our veterans, our military, and their families by shaping a positive future in an atmosphere of fellowship, patriotism, peace and security.PurposesIn fulfillment of our Mission, the American Legion Auxiliary adheres to the following purposes:To support and advocate for veterans, active military and their familiesTo support the initiatives and programs of The American LegionTo foster patriotism and responsible citizenshipTo award scholarships and promote quality education and literacyTo provide educational and leadership opportunities that uphold the ideals of freedom and democracy and encourage good citizenship and patriotism in governmentTo increase our capacity to deliver our Mission by providing meaningful volunteer opportunities within our communitiesTo empower our membership to achieve personal fulfillment through Service Not SelfValuesOur statement of values is predicated on the founding purposes:Commitment to the four founding principles: Justice, Freedom, Democracy, LoyaltyService to God, our country, its veterans and their familiesTradition of patriotism and citizenshipPersonal integrity and family valuesRespect for the uniqueness of individual membersTruthful open communication in dealing with the public and our membersAdherence to the adopted policies and rules",-86.557503,39.165398
9,10,American Red Cross,Sherri,Miller,sherri.miller2@redcross.org,,,1-812-471-7200,"1600 W. Third Street, Bloomington, IN, 47404",1600 W. Third Street,,1600 W 3rd St,Bloomington,IN,47404,http://www.redcross.org,The American Red Cross prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.,-86.552979,39.164909
10,11,American Red Cross Bloomington Blood Donation Center,Sherri,Miller,sherri.miller2@redcross.org,https://www.facebook.com/pages/American-Red-Cross-Blood-Services-Bloomington-Area-Blood-Donation-Cen,,1-800-448-3543,"1600 W. Third St., Bloomington, IN, 47404",1600 W. Third St.,,1600 W 3rd St,Bloomington,IN,47404,http://www.redcrossblood.org/rivervalley,"Serving central Kentucky, southern Indiana and southeastern Illinois. Whole Blood Donations Closed: Sunday, Monday & Tuesday Wednesday: Noon - 6 p.m. Thursday: Noon - 6 p.m. Friday: 8 a.m. - 2 p.m. Saturday: 8 a.m. - Noon",-86.552979,39.164909
11,12,Amethyst House,Gina,Lovell,glovell@amethysthouse.org,https://www.facebook.com/amethysthouseforwomen/,https://twitter.com/amethyst_house,1-812-336-3570,"645 N. Walnut St., Bloomington, IN, 47404",645 N. Walnut St.,,645 N Walnut St,Bloomington,IN,47404,http://www.amethysthouse.org,"Amethyst House provides a foundation for sober living by partnering with individuals, families and communities impacted by addictions and substance-abuse issues, offering quality recovery services and guidance for clean, sober and healthy living.",-86.533573,39.172725
12,13,Area 10 Agency On Aging,Amy,O'Brien,aobrien@area10agency.org,https://www.facebook.com/area10agency/,,1-812-876-3383,"631 W Edgewood Dr, Ellettsville, IN, 47429",631 W Edgewood Dr,,631 W Edgewood Dr,Ellettsville,IN,47429,http://www.area10agency.org,"Area 10 Agency on Aging's mission is to serve as a leader in providing resources, solutions, and connections for seniors, persons with disabilities and family caregivers living in Monroe and Owen counties.",-86.638963,39.232836
13,15,Army National Guard Family Readiness Group,Jenny,Tracy,jtracy@bluemarble.net,https://www.facebook.com/IndianaGuardsman,https://twitter.com/INGuardsman,1-812-320-3871,"3380 S. Walnut St., Bloomington, IN, 47401",3380 S. Walnut St.,,3380 S Walnut St,Bloomington,IN,47401,http://www.guardfamily.org,"The 2nd Battalion 150th Field Artillery Headquarters and Headquarters Battery Family Readiness Group (FRG) led by volunteers along with the Commander and the core values of the Indiana Army National Guard will provide support comfort and inspiration to military members and their families. The FRG strives to educate military families and service members about benefits and resources while providing family support communication networks and an agenda of activities to build cohesiveness. We have 600 Soldiers that serve all over the state of Indiana, but drill in 6 different locations. Our units are located in Bloomington, Crawfordsville, Greencastle, Lebabon, Indianapolis, and Rockville.",-86.53138,39.126065
14,16,Artisan Alley,Adam,Nahas,volunteer@artisanalley.com,https://www.facebook.com/pg/artisanalleybloomington,http://twitter.com/@_artisanalley,1-812-370-0278,"222 W. 2nd Street, Bloomington, IN, 47403",222 W. 2nd Street,Lower Level,222 W 2nd St LOWR,Bloomington,IN,47403,http://www.artisanalley.com,"We are all about creating opportunities for you to participate, make, play and produce your own work. You will find others who are happy to give you their time, experience and knowledge because the one thing we all have in common is that we believe we are stronger and more creative when we work together.",-86.535906,39.161374
15,17,Arts Alliance of Greater Blooomington,Joanne,Shank,joanneshank@gmail.com,https://www.facebook.com/bloomingtonarts/?hc_ref=SEARCH,,1-812-824-9681,"PO Box 3294, Bloomington, IN, 47402",,PO Box 3294,,Bloomington,IN,47402,http://www.bloomingtonarts.org,"The Arts Alliance of Greater Bloomington is a member?driven organization that promotes the sustainability of the creative arts community through communication and collective action. It seeks to connect all art genres, arts organizations, and arts advocates with local businesses, tourism, and other arts marketing initiatives. By facilitating education and collaboration the Alliance empowers individual artists and enriches the community?s vibrant arts network.",-86.531389,39.14621
